"Well ID","Sample Type","Concentration","OD","OD (corrected)"
"A1","Blank","","0.048",""
"A2","Blank","","0.051",""
"A3","NSB","","0.089",""
"A4","NSB","","0.092",""
"A5","B0","","2.58",""
"A6","B0","","2.61",""
"A7","Standard","1e-04","2.45",""
"A8","Standard","1e-04","2.51",""
"A9","Standard","1e-04","2.52",""
"A10","Standard","0.15","2.07",""
"A11","Standard","0.15","2.15",""
"A12","Standard","0.15","2",""
"B1","Standard","0.4","1.59",""
"B2","Standard","0.4","1.44",""
"B3","Standard","0.4","1.53",""
"B4","Standard","1","1.05",""
"B5","Standard","1","1.1",""
"B6","Standard","1","1.04",""
"B7","Standard","2","0.661",""
"B8","Standard","2","0.769",""
"B9","Standard","2","0.822",""
"B10","Standard","5","0.56",""
"B11","Standard","5","0.547",""
"B12","Standard","5","0.567",""
"C1","Sample","","2.45",""
"C2","Sample","","1.67",""
"C3","Sample","","1.42",""
