Well ID,Sample Type,Concentration,OD,OD (corrected)
A1,Blank,,0.048,0.000
A2,Blank,,0.051,0.000
B1,Standard,0,0.055,0.006
B2,Standard,0,0.058,0.009
C1,Standard,1.56,0.112,0.063
C2,Standard,1.56,0.118,0.069
D1,Standard,3.125,0.198,0.149
D2,Standard,3.125,0.205,0.156
E1,Standard,6.25,0.345,0.296
E2,Standard,6.25,0.358,0.309
F1,Standard,12.5,0.612,0.563
F2,Standard,12.5,0.628,0.579
G1,Standard,25,1.025,0.976
G2,Standard,25,1.042,0.993
H1,Standard,50,1.578,1.529
H2,Standard,50,1.612,1.563
A3,Standard,100,2.145,2.096
A4,Standard,100,2.178,2.129
B3,QC_Low,,0.165,0.116
B4,QC_Low,,0.172,0.123
C3,QC_Mid,,0.685,0.636
C4,QC_Mid,,0.698,0.649
D3,QC_High,,1.845,1.796
D4,QC_High,,1.862,1.813
E3,Serum_001,,0.425,0.376
E4,Serum_001,,0.438,0.389
F3,Serum_002,,0.892,0.843
F4,Serum_002,,0.878,0.829
G3,Serum_003,,1.245,1.196
G4,Serum_003,,1.268,1.219
H3,Serum_004,,0.198,0.149
H4,Serum_004,,0.205,0.156
A5,Serum_005,,0.545,0.496
A6,Serum_005,,0.558,0.509
B5,Serum_006,,1.612,1.563
B6,Serum_006,,1.598,1.549
C5,Serum_007,,0.312,0.263
C6,Serum_007,,0.325,0.276
D5,Serum_008,,0.742,0.693
D6,Serum_008,,0.756,0.707
E5,Serum_009,,1.412,1.363
E6,Serum_009,,1.425,1.376
F5,Serum_010,,0.082,0.033
F6,Serum_010,,0.078,0.029
G5,CSF_001,,0.285,0.236
G6,CSF_001,,0.298,0.249
H5,CSF_002,,0.145,0.096
H6,CSF_002,,0.152,0.103
