"Well ID","Sample Type","Concentration","OD"
"A1","Standard","500",2.751
"A2","Standard","500",2.588
"B1","Standard","200",1.38
"B2","Standard","200",1.351
"C1","Standard","80",0.713
"C2","Standard","80",0.746
"D1","Standard","32",0.462
"D2","Standard","32",0.466
"E1","Standard","12.8",0.375
"E2","Standard","12.8",0.356
"F1","Standard","5.12",0.335
"F2","Standard","5.12",0.335
"G1","Standard","2.048",0.318
"G2","Standard","2.048",0.287
"H1","Blank","0",0.284
"H2","Blank","0",0.295
"I1","Sample","",1.904
"I2","Sample","",1.968
"J1","Sample","",1.008
"J2","Sample","",1.068
"K1","Sample","",0.656
"K2","Sample","",0.673
"L1","Sample","",0.479
"L2","Sample","",0.503
"M1","Sample","",0.397
"M2","Sample","",0.391
"N1","Sample","",0.358
"N2","Sample","",0.343
"O1","Sample","",0.338
"O2","Sample","",0.318
"P1","Sample","",0.67
"P2","Sample","",0.601
"Q1","Sample","",0.717
"Q2","Sample","",0.657
"R1","Sample","",0.745
"R2","Sample","",0.705
"S1","Sample","",1.064
"S2","Sample","",1.018
"T1","Sample","",0.621
"T2","Sample","",0.658
"U1","Sample","",0.491
"U2","Sample","",0.488
